,PCECC96 Fore a=0.7,GDPC1 Fore a=0.7,CPIAUCSL Fore a=0.7,PPIACO Fore a=0.7,PCECC96,GDPC1,CPIAUCSL,PPIACO
2006/6/1,44.01174015,68.59286714,-0.686479188,0.426835661,-61.344,-164.75,0.7666,2.6333
2006/9/1,-29.73727795,-94.74713986,0.330676244,1.971360698,10.658,-12.016,0.1,1.3
2006/12/1,-1.460583386,-36.83534196,0.169202873,1.50140821,37.901,106.897,-2.7334,-2.5667
2007/3/1,26.09252498,63.77729741,-1.862619138,-1.346267537,-41.903,-94.16,2.8171,2.5667
2007/6/1,-21.5043425,-46.77881078,1.413184259,1.392809739,-39.202,52.357,0.3303,6.1333
2007/9/1,-33.89270275,22.61625677,0.655165278,4.711152922,40.066,-4.104,-1.006,0.8334
2007/12/1,17.87838917,3.91207703,-0.507650417,1.996725876,-29.333,10.576,1.2427,3.7666
2008/3/1,-15.16958325,8.576823109,0.717594875,3.235637763,-58.676,-185.813,-0.2707,6.4334
2008/6/1,-45.62407497,-127.4960531,0.025788462,5.474071329,45.625,171.509,0.488,12.1333
2008/9/1,18.25027751,81.80748408,0.349336539,10.1355314,-97.093,-166.201,0.5553,4.4667
2008/12/1,-62.49001675,-91.79845478,0.493510962,6.16734942,-18.647,-253.729,-8.3356,-22.4334
2009/3/1,-31.79990502,-205.1498364,-5.686866712,-13.85317517,74.802,166.918,3.5413,-8.5
2009/6/1,42.82142849,55.29764907,0.772849987,-10.10595255,-18.686,150.264,2.6003,1.8
2009/9/1,-0.233771452,121.7740947,2.052064996,-1.771785766,114.232,76.928,0.7077,2.5334
2009/12/1,79.89226856,90.38182842,1.111009499,1.24184427,-87.425,111.731,-0.151,3.0333
2010/3/1,-37.22981943,105.3262485,0.22760285,2.495863281,67.344,-107.749,-1.342,5.1667
2010/6/1,35.97185417,-43.82642544,-0.871119145,4.365448984,31.929,83.045,-0.4207,2.1666
2010/9/1,33.14185625,44.98357237,-0.555825744,2.826254695,-9.522,-27.442,0.7137,0.4
2010/12/1,3.277156875,-5.71432829,0.332842277,1.127876409,-3.537,-36.032,1.1277,3.3667
2011/3/1,-1.492752937,-26.93669849,0.889242683,2.695052923,-24.915,-116.529,0.58,7.9
2011/6/1,-17.88832588,-89.65130955,0.672772805,6.338515877,-21.829,150.213,0.1799,7.8
2011/9/1,-20.64679776,78.25370714,0.327761841,7.361554763,18.469,-116.738,-1.0602,0.1333
2011/12/1,6.734260671,-58.24048786,-0.643811448,2.301776429,-22.525,187.803,-0.4498,-3.0666
2012/3/1,-13.7472218,113.9899536,-0.508003434,-1.456087071,67.553,-58.096,0.2641,1.4
2012/6/1,43.16293346,-6.470213907,0.03246897,0.543173879,-71.128,-55.922,-0.7967,-0.3667
2012/9/1,-36.84071996,-41.08646417,-0.547949309,-0.093737836,1.65,-47.529,0.551,0.6
2012/12/1,-9.897215989,-45.59623925,0.221315207,0.391878649,31.403,-3.389,0.4953,-0.1333
2013/3/1,19.0129352,-16.05117178,0.413104562,0.024253595,7.999,125.355,-0.5983,1.3333
2013/6/1,11.30318056,82.93314847,-0.294878631,0.940586078,-49.335,-123.61,-1.1843,0.3667
2013/9/1,-31.14354583,-61.64705546,-0.917473589,0.538865824,37.238,108.289,1.5093,0.2
2013/12/1,16.72353625,57.30818336,0.781267923,0.301659747,50.989,3.459,-0.3923,-2.2667
2014/3/1,40.70936088,19.61375501,-0.040229623,-1.496192076,-51.855,-179.073,0.5956,3.6
2014/6/1,-24.08569174,-119.4669735,0.404851113,2.071142377,79.441,272.044,-0.207,2.7
2014/9/1,48.38299248,154.590708,-0.023444666,2.511342713,-0.802,-19.312,-0.6453,-1.0667
2014/12/1,13.95349774,32.85881239,-0.4587434,0.006712814,17.118,-109.683,-1.196,-6.7
2015/3/1,16.16864932,-66.92045628,-0.97482302,-4.687986156,-42.978,38.602,-0.9786,-8.9
2015/6/1,-25.2340052,6.945263115,-0.977466906,-7.636395847,-3.289,-6.453,3.1869,1.5
2015/9/1,-9.872501561,-2.433521066,1.937589928,-1.240918754,-3.252,-70.536,-0.694,-1.4
2015/12/1,-5.238150468,-50.10525632,0.095476978,-1.352275626,-36.975,-51.873,-0.9153,-6.0666
2016/3/1,-27.45394514,-51.3426769,-0.612066906,-4.652302688,40.357,82.257,-0.1003,-3.5667
2016/6/1,20.01371646,42.17709693,-0.253830072,-3.892380806,-6.92,-5.359,1.7973,3.3667
2016/9/1,1.160114937,8.901829079,1.181960978,1.188975758,-9.293,13.079,-0.591,1.7
2016/12/1,-6.157065519,11.82584872,-0.059111706,1.546692727,-1.529,-6.5,0.448,0
2017/3/1,-2.917419656,-1.002245383,0.295866488,0.464007818,-2.663,11.868,0.103,4.2
2017/6/1,-2.739325897,8.006926385,0.160859946,3.079202345,0.415,-5.233,-1.431,1.8666
2017/9/1,-0.531297769,-1.261022084,-0.953442016,2.230380704,-0.619,46.718,1.0683,0.9
2017/12/1,-0.592689331,32.32429337,0.461777395,1.299114211,70.05,16.396,0.6017,1.6667
2018/3/1,48.8571932,21.17448801,0.559723219,1.556424263,-90.243,-43.116,0.072,3.1333
2018/6/1,-48.51294204,-23.8288536,0.218316966,2.660237279,73.101,44.091,-0.6486,3.7334
2018/9/1,36.61681739,23.71504392,-0.38852491,3.411451184,-15.68,-25.296,-0.0784,1.2
2018/12/1,0.009045216,-10.59268682,-0.171437473,1.863435355,-64.11,-83.757,-0.3197,-1.1334
2019/3/1,-44.87428644,-61.80770605,-0.275221242,-0.234349393,-9.485,92.905,-0.378,-2.8333
2019/6/1,-20.10178593,46.49118819,-0.347166373,-2.053614818,100.751,-47.194,1.2757,1.5
